node,gene
1,Q0010
2,Q0017
3,Q0032
4,Q0045
5,Q0050
6,Q0055
7,Q0060
8,Q0065
9,Q0070
10,Q0075
11,Q0080
12,Q0085
13,Q0092
14,Q0105
15,Q0110
16,Q0115
17,Q0120
18,Q0130
19,Q0140
20,Q0142
21,Q0143
22,Q0144
23,Q0160
24,Q0182
25,Q0250
26,Q0255
27,Q0275
28,Q0297
29,YAL001C
30,YAL002W
31,YAL003W
32,YAL004W
33,YAL005C
34,YAL007C
35,YAL008W
36,YAL009W
37,YAL010C
38,YAL011W
39,YAL012W
40,YAL013W
41,YAL014C
42,YAL015C
43,YAL016C-A
44,YAL016C-B
45,YAL016W
46,YAL017W
47,YAL018C
48,YAL019W
49,YAL019W-A
50,YAL020C
51,YAL021C
52,YAL022C
53,YAL023C
54,YAL024C
55,YAL025C
56,YAL026C
57,YAL026C-A
58,YAL027W
59,YAL028W
60,YAL029C
61,YAL030W
62,YAL031C
63,YAL031W-A
64,YAL032C
65,YAL033W
66,YAL034C
67,YAL034C-B
68,YAL034W-A
69,YAL035W
70,YAL036C
71,YAL037C-A
72,YAL037C-B
73,YAL037W
74,YAL038W
75,YAL039C
76,YAL040C
77,YAL041W
78,YAL042C-A
79,YAL042W
80,YAL043C
81,YAL044C
82,YAL044W-A
83,YAL045C
84,YAL046C
85,YAL047C
86,YAL047W-A
87,YAL048C
88,YAL049C
89,YAL051W
90,YAL053W
91,YAL054C
92,YAL055W
93,YAL056C-A
94,YAL056W
95,YAL058W
96,YAL059C-A
97,YAL059W
98,YAL060W
99,YAL061W
100,YAL062W
101,YAL063C
102,YAL063C-A
103,YAL064C-A
104,YAL064W
105,YAL064W-B
106,YAL065C
107,YAL066W
108,YAL067C
109,YAL067W-A
110,YAL068C
111,YAL068W-A
112,YAL069W
113,YAR002C-A
114,YAR002W
115,YAR003W
116,YAR007C
117,YAR008W
118,YAR009C
119,YAR010C
120,YAR014C
121,YAR015W
122,YAR018C
123,YAR019C
124,YAR019W-A
125,YAR020C
126,YAR023C
127,YAR027W
128,YAR028W
129,YAR029W
130,YAR030C
131,YAR031W
132,YAR033W
133,YAR035C-A
134,YAR035W
135,YAR042W
136,YAR047C
137,YAR050W
138,YAR053W
139,YAR060C
140,YAR064W
141,YAR066W
142,YAR068W
143,YAR069C
144,YAR070C
145,YAR071W
146,YAR073W
147,YAR075W
148,YBL001C
149,YBL002W
150,YBL003C
151,YBL004W
152,YBL005W
153,YBL005W-A
154,YBL005W-B
155,YBL006C
156,YBL006W-A
157,YBL007C
158,YBL008W
